note_id,type,title,desc,video_url,time,last_update_time,user_id,nickname,avatar,liked_count,collected_count,comment_count,share_count,ip_location,image_list,tag_list,last_modify_ts,note_url,source_keyword,xsec_token
69707e2e000000002102b61e,video,脂溢性头皮爆发期稳定期怎么用👉保姆级教程,"搞定头痒 头屑 长痘 掉头发 这些烦人的头皮问题
用最通俗易懂的说法讲清楚 讲明白
脂头爆发期/稳定期分别用什么 怎么搭配 怎么循环
看完一定能学会
#头屑[话题]# #大油头[话题]#  #二硫化硒洗发水[话题]# #洗发水推荐[话题]# #去屑洗发水[话题]# #氨基酸洗发水[话题]#  #头皮[话题]# #保护头发工程[话题]# #头皮屑一粒一粒小白点[话题]# #去屑止痒[话题]#",http://sns-video-hw.xhscdn.com/stream/1/110/259/01e9707cfd0c0489010370039bdf6e1286_259.mp4?sign=52c99eb76c2809d677cd6845c2c77961&t=69e63dc1,1769253000000,1768980014000,641dcd1e00000000120132ab,特奥桃,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31plukmjel20g5p0tpkf4iclbc4i12ug,10万+,8.5万,2136,9053,,http://sns-webpic-qc.xhscdn.com/202604202252/74a8dd7bec4700c0002d9af5375082a4/1040g2sg31rjhc3nm2s705p0tpkf4iclbk7b0j5o!nd_dft_wlteh_webp_3,"头屑,大油头,二硫化硒洗发水,洗发水推荐,去屑洗发水,氨基酸洗发水,头皮,保护头发工程,头皮屑一粒一粒小白点,去屑止痒",1776696946012,https://www.xiaohongshu.com/explore/69707e2e000000002102b61e?xsec_token=ABpLKtVwpCIMxfAYuMpL898tv4cqYfoZkQirSV4CyemGE=&xsec_source=pc_search,洗发水推荐,ABpLKtVwpCIMxfAYuMpL898tv4cqYfoZkQirSV4CyemGE=
69a13d45000000001a036a8e,normal,“爱人如养花”在我身上具象化！,"23 年前，我受亲戚和男同学的打压是个走路都不敢抬头的自卑男仔头[可怜R]
	
19岁却凭着心口有个“勇”字去追校草
说实话，连我自己也感觉好像发梦似的
当初是因为他太像我偶像edc才主动追求的
消息传开时，周围全是质疑声
他说：“我会让你自信起来”​
渐渐地他把我养成了有点氛围感的小美女
	
后来我不理妈妈反对跟他领证结婚了，原来好的爱情，真的能治愈自卑，我以为跟他从此过上颜值对等的快乐生活[害羞R][害羞R]
	
直到生完两娃 ——​身材走形、颜值跳水，最崩溃的是头发一抓掉一把，发缝宽得能插秧，发际线还一个劲后移那段时间我总忍不住自我否定，开始天天戴帽子，连在家都不敢摘，焦虑到快自闭，甚至觉得自己配不上他了[可怜R][可怜R]
	
可谁能想到，连护发素和发膜都分不清的直男，居然偷偷背着我做了好久攻略，有天回家突然递上一瓶三蒂丝红盾防脱洗发水，他说：“我查了，这个有国妆特字防脱新证的，给你用着更安心，而且它的防脱思路是全链根源防脱的，针对所有脱发成因从根源搞定，有乌诺地尔的加持，头发就不容易掉了，而且成分温和还没有狂脱期，你可以安心用，里面还有侧柏叶精粹帮助调节头皮出油，出油调节好你也不用总是戴帽子了”
	
他从来不是那种甜言蜜语的男生
他这种直男觉得行动比千言万语更加实际每天提醒我记得用他买的洗发水洗头，笨拙地帮我洗头发，哪怕手法还是糙得像揉面团
	
不过直男买的洗发水还真挺好用泡沫绵密得像云朵，上头皮温和不刺激，洗完头皮清清爽爽，完全没有一点油膜感，头痒总想挠的感觉也没有了
	
我现在有时候熬夜赶搭配方案两天才洗发一次到第二天都还是蓬松不油腻的，之前偶尔会长的那种痒痒的小疙瘩也没长过了淡淡的香味还能留香好久，就这么慢慢坚持下来，洗手盆的掉发一次比一次少了，头发也越来越蓬松有光泽
	
现在跟他约会我终于敢摘掉帽子，重新拾回了自信[加油R][加油R]而他总盯着我说：“42 岁的你，比19 岁时还要漂亮自信”
	
那一刻我开始懂了：​婚姻从来不是一个人单方面付出，而是双向救赎、互相滋养
花和养花人，从来都不是固定角色，23 年的时光里，我们吵过架、闹过矛盾，却从来没想过放开彼此的手～
	
都说女人嫁得好不好，看脸就一清二楚了
相由心身！而我，真的从19岁那个平平无奇自卑女活成了42岁TVB大女主[害羞R][害羞R]现在那种松弛做自己的爽感谁懂啊[加油R][加油R]
#中年夫妻[话题]# #夫妻日常[话题]# #三蒂丝红盾防脱洗发水[话题]# #三蒂丝[话题]#   #洗发水推荐[话题]#",,1772271754000,1772174661000,5d400d5f0000000001001547,Kid&Rosansa,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo317ss63acjq005na01lfg85a7qthie6o,3.1万,2373,2775,1959,,"http://sns-webpic-qc.xhscdn.com/202604202252/0c916e75bf680fda672ac7968b6ac4ab/1040g00831t326v9tls505na01lfg85a71q4bps0!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/f07cbd23da15e0539d585dbe70829f0b/1040g00831t34v595m2405na01lfg85a76hhdnuo!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/c73cf010b97cc36b91cecf043277571c/1040g00831t34v595m24g5na01lfg85a7sap41j8!nd_dft_wgth_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/5ac1e9ccfedb253c58b2e33ffd9b945d/1040g00831t34v595m26g5na01lfg85a785bm2do!nd_dft_wgth_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/3eb35e6e8d695b320bf3d280ad3c6131/1040g00831t34v595m25g5na01lfg85a7e10369o!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/c70aff06916e8db6fc8cd457a2d427be/1040g00831t34v595m2605na01lfg85a7v55b69o!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/3233cce92fa8759648fecffca580cf7f/1040g00831t326v9tls005na01lfg85a7fbq19q0!nd_dft_wgth_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/3ea3aeaa340db4c66e864c52a8bf3fd9/1040g00831t326v9tls405na01lfg85a7jegg7bo!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/85244257a047beff882c5714d4349ffa/1040g00831t326v9tls1g5na01lfg85a70mc9fbo!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/da195b500cc6f546feb1806c9ed5a08d/1040g00831t326v9tls105na01lfg85a719ok8t8!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/a22ca13ef898ad41747fbf85f47c6790/1040g00831t326v9tls2g5na01lfg85a711a94b8!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/fceb16575719cf3ac07da92e12c9faef/1040g00831t326v9tls305na01lfg85a7ptnht8g!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/748dc139e8a25a5ebb81a11e1ad5394c/1040g00831t326v9tls3g5na01lfg85a7sdnchc0!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/8df0368c60cae1e15435bfe16bfa3c07/1040g00831t326v9tls4g5na01lfg85a71d4j9g0!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/485db2e8c50e338cd78aaed8e89cd2b1/1040g00831t326v9tls0g5na01lfg85a77al71t8!nd_dft_wlteh_webp_3,http://sns-webpic-qc.xhscdn.com/202604202252/8bfaa42abae8095af59ec9d4fffba816/1040g00831t326v9tls205na01lfg85a7m2a65b8!nd_dft_wgth_webp_3","中年夫妻,夫妻日常,三蒂丝红盾防脱洗发水,三蒂丝,洗发水推荐",1776696946031,https://www.xiaohongshu.com/explore/69a13d45000000001a036a8e?xsec_token=ABhVevvgI8LRuG9nxjPP_Wsjhkas-yi1GLA8cqyxVhnXE=&xsec_source=pc_search,洗发水推荐,ABhVevvgI8LRuG9nxjPP_Wsjhkas-yi1GLA8cqyxVhnXE=
6909aed7000000000401015f,video,拍案叫绝！我挑的这些东西家人超爱用！,【本期视频可没有广子】,http://sns-video-hw.xhscdn.com/stream/79/110/259/01e909aed7ed5962010370039a4dd74b47_259.mp4?sign=e5ef9adf2e30db4739a44a13ae9fc021&t=69e63dcf,1762509674000,1762242263000,59b62f1550c4b47fbfa368d9,papi酱,https://sns-avatar-qc.xhscdn.com/avatar/59b62f1550c4b47fbfa368d9.jpg,2.8万,5783,2856,1720,,http://sns-webpic-qc.xhscdn.com/202604202253/5f9c861b05d48be693414dd93dd5e5da/spectrum/1040g34o31of4q612l21049pjunnhaq6pse4i6qo!nd_dft_wlteh_webp_3,,1776696946060,https://www.xiaohongshu.com/explore/6909aed7000000000401015f?xsec_token=ABp1nhmhXUu82BrMw05R2fQj-BKM5uhgUd3LKlSkksNO4=&xsec_source=pc_search,洗发水推荐,ABp1nhmhXUu82BrMw05R2fQj-BKM5uhgUd3LKlSkksNO4=
67bc1277000000000900f3fa,video,细软塌发根起立，有效修饰脸型,﻿#朱旺旺[话题]#﻿ ﻿#洗发水[话题]#﻿ ﻿#头发[话题]#﻿ ﻿#护发[话题]#﻿ ﻿#细软塌[话题]#﻿ ﻿#高颅顶[话题]#﻿ ﻿#脱发[话题]#﻿ ﻿#头发护理[话题]#﻿﻿,http://sns-video-hw.xhscdn.com/stream/1/110/259/01e7bc102852327a010370039536ae6aeb_259.mp4?sign=1c1d3b2cef32693a8beba1516fa73028&t=69e63dd7,1740392651000,1749020430000,55b1ba535894463e9e610816,朱旺旺就是朱旺旺呗,https://sns-avatar-qc.xhscdn.com/avatar/63d145c9f6ef7c00a5f166ee.jpg,1.8万,6529,262,489,,http://sns-webpic-qc.xhscdn.com/202604202253/a0c87ea728363dc88489a4615773da5d/spectrum/1040g34o31ia4591h6q0g4109mpt5620m65376io!nd_dft_wlteh_webp_3,"朱旺旺,洗发水,头发,护发,细软塌,高颅顶,脱发,头发护理",1776696946151,https://www.xiaohongshu.com/explore/67bc1277000000000900f3fa?xsec_token=AB8gJ8Mh6u84LRD8Q5FOyHZfaC073YKq2QeieChn3kl88=&xsec_source=pc_search,洗发水推荐,AB8gJ8Mh6u84LRD8Q5FOyHZfaC073YKq2QeieChn3kl88=
6819a311000000000f039a3f,video,这些好东西，不！挑！皮！,"【本期视频客户洗出健康头皮】
##馥绿德雅绿珠洗发水[话题]#",http://sns-video-hw.xhscdn.com/stream/79/110/259/01e819a31106fa1e0103700396a4326239_259.mp4?sign=57b481d695ec39046f43505dc7a65ed9&t=69e63dde,1746698631000,1746884405000,59b62f1550c4b47fbfa368d9,papi酱,https://sns-avatar-qc.xhscdn.com/avatar/59b62f1550c4b47fbfa368d9.jpg,1.4万,3083,498,406,,http://sns-webpic-qc.xhscdn.com/202604202253/afc6f1caa4a6c99ae2c9b3953c942d0f/spectrum/1040g0k031h4n8i5gk20049pjunnhaq6pl7glklg!nd_dft_wlteh_webp_3,馥绿德雅绿珠洗发水,1776696946153,https://www.xiaohongshu.com/explore/6819a311000000000f039a3f?xsec_token=ABG7BC_cNEWTpiRY17Ra8uw6IOwaNSS9IHvqAlFsCfN-Q=&xsec_source=pc_search,洗发水推荐,ABG7BC_cNEWTpiRY17Ra8uw6IOwaNSS9IHvqAlFsCfN-Q=
69ccd31e000000001e00e94a,video,绝无可能有人比我推荐的头发护理更好用。,"#00：06[时刻]#  1.发醋+护理霜
#00：53[时刻]#  2.头发还原液
#01：13[时刻]#  3.啤酒花洗发
#01：40[时刻]#  4.护发喷雾
#02：02[时刻]#  5.去屑洗发水
#02：28[时刻]#  6.急救洗发
05：55  7.新疆神油
#03：29[时刻]#  8.头发粉粉
#03：52[时刻]#  9.头皮清洁露
#04：27[时刻]#  10.发膜
#04：53[时刻]#  11.洗护合一
#我的日常[话题]# #我的护肤日常[话题]# #好物分享[话题]#",http://sns-video-hw.xhscdn.com/stream/1/110/259/01e9cd035852952b010370039d48d7a806_259.mp4?sign=f8ee96da0d62ccb7dea699320d15cfab&t=69e63de5,1775037872000,1775043417000,59b3c22350c4b479b1a36867,是辰不是晨ii,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30u12ucvukm0049pgq9126q37cd83k80,1.3万,1.7万,203,1118,广东,http://sns-webpic-qc.xhscdn.com/202604202253/3fa5b688a268d2d15e9201ab03433425/1040g2sg31udmp12s2o0049pgq9126q37nladk8g!nd_dft_wlteh_webp_3,"我的日常,我的护肤日常,好物分享",1776696946154,https://www.xiaohongshu.com/explore/69ccd31e000000001e00e94a?xsec_token=ABlgmMRisT809ZNs1ZkqFAnT3v_eNI6OxEy9QNSO22mw8=&xsec_source=pc_search,洗发水推荐,ABlgmMRisT809ZNs1ZkqFAnT3v_eNI6OxEy9QNSO22mw8=
6901e5600000000003038d5d,video,洗头外包｜头发主理人，都买了些什么？,#我好像得了没毛病[话题]# #洗头外包有多爽[话题]# #我的头发真的吃得很好[话题]# #朱旺旺[话题]# #洗发水[话题]# #护发精油[话题]# #发膜[话题]# #购物分享[话题]#,http://sns-video-hw.xhscdn.com/stream/1/110/259/01e901e364255612010370039a2f6a8b7f_259.mp4?sign=e5b4cb867c0b24578ff6861f1917b39b&t=69e63dec,1761731936000,1761731936000,55b1ba535894463e9e610816,朱旺旺就是朱旺旺呗,https://sns-avatar-qc.xhscdn.com/avatar/63d145c9f6ef7c00a5f166ee.jpg,9922,3006,1174,499,,http://sns-webpic-qc.xhscdn.com/202604202253/fe9f894f5448f82aada08685ff6bdcb9/spectrum/1040g34o31o7h80umks104109mpt5620mn0og3oo!nd_dft_wlteh_webp_3,"我好像得了没毛病,洗头外包有多爽,我的头发真的吃得很好,朱旺旺,洗发水,护发精油,发膜,购物分享",1776696946155,https://www.xiaohongshu.com/explore/6901e5600000000003038d5d?xsec_token=ABlARKhAbT77btIYsgT0kv-r6GqgKhB4abhloGTI3lV64=&xsec_source=pc_search,洗发水推荐,ABlARKhAbT77btIYsgT0kv-r6GqgKhB4abhloGTI3lV64=
67fa403b000000001c013e3f,video,年度回购第一的7笔消费！天天都用的意难忘,"是什么东西，能让阅品无数的美妆博主，反复惦记，在同品类里，买了又买！
﻿#00:06[时刻]# 美白牙膏﻿
﻿#00:44[时刻]# 蓬松洗发水﻿
﻿#01:06[时刻]# 自用、送人都很可的枕套﻿
﻿#01:34[时刻]# 很舒服很滋润的唇膜！﻿
﻿#02:09[时刻]# 很厚实的纯棉﻿洗脸巾
﻿#02:52[时刻]# 性价比高到不行的洗手液﻿
﻿#03:22[时刻]# 低成本就能很好闻的沐浴露﻿
﻿#爱用物[话题]#﻿ ﻿#年度爱用[话题]#﻿ ﻿#美白牙膏[话题]#﻿ ﻿#真丝枕套[话题]#﻿ ﻿#润唇膏[话题]#﻿ ﻿#洗脸巾[话题]#﻿ ﻿#洗手液[话题]#﻿ ﻿#香水沐浴露[话题]#﻿ ﻿#控油洗发水[话题]#﻿ ﻿#cbeauty[话题]#﻿",http://sns-video-hw.xhscdn.com/stream/1/110/259/01e7fa3e9d0e82170103700396298e72db_259.mp4?sign=0dfbbcdd32ea39f571ac62318c7cb4b5&t=69e63df4,1744453691000,1744453691000,5a2c7b3a11be106ed742f00a,是阿束啊,https://sns-avatar-qc.xhscdn.com/avatar/5e8921222002720001f87224.jpg,6077,2844,389,140,,http://sns-webpic-qc.xhscdn.com/202604202253/48cefe6ee91fc81b84c7edbc5f875f61/spectrum/1040g34o31g62bs3fh60g4a06avtjls0at0jri9o!nd_dft_wlteh_webp_3,"爱用物,年度爱用,美白牙膏,真丝枕套,润唇膏,洗脸巾,洗手液,香水沐浴露,控油洗发水,cbeauty",1776696946157,https://www.xiaohongshu.com/explore/67fa403b000000001c013e3f?xsec_token=AB9KVg-3cxAWkLTDj98IPLPXcJt-3TxysERokyBdQA7B4=&xsec_source=pc_search,洗发水推荐,AB9KVg-3cxAWkLTDj98IPLPXcJt-3TxysERokyBdQA7B4=
6972def0000000001a01f3fb,video,大大大大容量香香好物！人体烘焙大法🛁,#香香好物[话题]# #爱用物分享[话题]# #体香[话题]# #从头香到脚[话题]# #舒肤佳红石榴[话题]# #沐浴露[话题]# #洗衣液[话题]# #洗发水[话题]##个护[话题]#,http://sns-video-hw.xhscdn.com/stream/79/110/259/01e972def09e3bb9010370039be8b81f52_259.mp4?sign=1193de3df07f10497397c45970b3b58b&t=69e63dfb,1769158815000,1769135857000,5a2f4cb611be1021706678ef,Jamizha1,https://sns-avatar-qc.xhscdn.com/avatar/60123650534d11661fc232af.jpg,5199,3225,103,146,,http://sns-webpic-qc.xhscdn.com/202604202253/55768840c15a4b2e1d96e20072fd57b5/1040g2sg31rlrtdos32e04a07q16bcu7fofuuqp0!nd_dft_wlteh_webp_3,"香香好物,爱用物分享,体香,从头香到脚,舒肤佳红石榴,沐浴露,洗衣液,洗发水,个护",1776696946158,https://www.xiaohongshu.com/explore/6972def0000000001a01f3fb?xsec_token=AB3P2ZRP0ZrivLRi7r8xkzmsIkTSSBJBjq2AVcs3EvpSw=&xsec_source=pc_search,洗发水推荐,AB3P2ZRP0ZrivLRi7r8xkzmsIkTSSBJBjq2AVcs3EvpSw=
6978ae80000000000e00c7c2,normal,2025细软塌发质必吃榜 bot,"一人说一个，
细软塌用完真的觉得“头发有救了”的本命好东西。
	
细软塌发质一不小心就贴头皮；
刚洗完还有点蓬松感，出门没多久就塌回原形😮‍💨
护发一滋润就更塌，不护又毛躁没精神；
造型产品用多了显油，用少了又完全撑不住。
	
不是不会打理，是真的很多东西，
压根就不适合细软塌。
	
开个2025 细软塌好物互助贴 bot 📋
就老老实实和大家一起挖这些👇
洗护洗完头皮清爽洗发水，不油腻的护发素
不油、不硬的蓬松喷雾、定型产品 ✨
清爽不腻的护发精油，
还有细软塌也能用、不压发的那种吹头&造型技巧
真的有用的手法、工具、顺序分享 👀
还有细软塌用着不塌、不油、不显少的好物或经验。
	
怎么分享都可以，文字、图片都行，
只要是你自己试过、踩过、总结过的 ❌
	
一句话原则：细软塌不是没发量，是需要对的东西和对的用法。
#什么都别买贵了[话题]# #细软塌的秘诀[话题]# #油性发质[话题]# #告别细软塌[话题]# #细软发质[话题]# #细软塌必备[话题]# #好物分享[话题]# #头发蓬松[话题]# #洗发水[话题]# #护发素[话题]#",,1769516672000,1769516673000,68a05d94000000001901c7ee,什么都别买贵了bot,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31o6gcchl6g005q50bma6bhvefdliplg,4718,2580,716,155,,http://sns-webpic-qc.xhscdn.com/202604202253/12aa998b11b499911e01982101fd5d1c/1040g00831rrhctm42m005q50bma6bhvetq6hl20!nd_dft_wlteh_webp_3,"什么都别买贵了,细软塌的秘诀,油性发质,告别细软塌,细软发质,细软塌必备,好物分享,头发蓬松,洗发水,护发素",1776696946160,https://www.xiaohongshu.com/explore/6978ae80000000000e00c7c2?xsec_token=ABLwlhQBRPYfqf9JnimK1DDYlRuEipgAlI7o64LfngnFc=&xsec_source=pc_search,洗发水推荐,ABLwlhQBRPYfqf9JnimK1DDYlRuEipgAlI7o64LfngnFc=
